Classe de indicadores,Tipo,estratégia,Indicadores,descrição
NPS,Reputação,,NPS - Média mensal,"O indicador é a média mensal do NPS. É ideal para observar o desempenho mensal, evitando desvios importantes no NPS e riscos de percepção da imagem da marca no período."
NPS,Reputação,,NPS - Acumulado no ano,"O indicador é o agregado do NPS no decorrer do ano. É ideal para observar o total da percepção no acumulada do ano sobre a marca.
"
Protagonismo,Reputação,,Protagonismo - Média mensal,"Trata-se média mensal da exposição protagonista da marca nas mídias. O indicador mede a possibilidade da audiência ser impactada pela marca na leitura da publicação.         Desta forma, essa mensuração é importante para verificar se a mensagem sobre a sua marca tem mais, ou menos, possiblidade de ser lembrada no decorrer dos meses"
Protagonismo,Reputação,,Protagonismo - Acumulado no ano,"Trata-se da exposição protagonista da marca nas mídias no decorrer do ano. O indicador mede a possibilidade da audiência ser impactada pela marca na leitura da publicação.         Desta forma, essa mensuração é importante para verificar se a mensagem sobre a sua marca tem mais, ou menos, possiblidade de forma acumulativa no decorrer do ano"
Protagonismo,Reputação,,Protagonismo Promotor - Média mensal,"Trata-se média mensal da exposição protagonista promotora da marca nas mídias. O indicador mede a possibilidade da audiência ser impactada pela marca na leitura da publicação.         Desta forma, essa mensuração é importante para verificar se a exposição favorável sobre a sua marca tem mais, ou menos, possiblidade de ser lembrada no decorrer dos meses"
Impressão Promotora,Reputação,,Impressão Promotora - Média mensal,"O indicador é a média mensal do impacto promotor da marca. É ideal para observar o desempenho mensal da percepção promotora, com o objetivo de reduzir desvios importantes e manter a promoção da imagem de forma constante no decorrer no ano
"
Impressão Promotora,Reputação,,Impressão Promotora - Acumulado no ano,"O indicador é a soma do impacto promotor da marca. É ideal para observar o total da percepção promotora acumulada no ano sobre a marca.
"
Impressão Promotora,Reputação,,Impressão Promotora (%) - Média mensal,"O indicador é a média mensal do percentual do impacto promotor da marca. É ideal para observar o desempenho mensal da percepção promotora, com o objetivo de reduzir desvios importantes e manter a promoção da imagem de forma constante no decorrer no ano
"
Impressões Detratora,Reputação,,Impressão Detratora - Média mensal,"O indicador é a média mensal do impacto detrator da marca. É ideal para observar o desempenho mensal da percepção crítica, com o objetivo de tentar identificar desvios importantes e reduzir picos de imagem negativa no decorrer no ano"
Impressões Detratora,Reputação,,Impressão Detratora - Acumulado no ano,O indicador é a soma do impacto detrator da marca. É ideal para observar o total da percepção crítica acumulada no ano sobre a marca.
Impressões Detratora,Reputação,,Impressão Detratora (%) - Média mensal,"O indicador é a média mensal do percentual do impacto detrator da marca. É ideal para observar o desempenho mensal da percepção crítica, com o objetivo de tentar identificar desvios importantes e reduzir picos de imagem negativa no decorrer no ano"
Contr. ao NPS,Reputação,ações de comunicação,(%) Contr. das Ações ao NPS - Média mensal,"É o indicador que mensura o quanto as ações de comunicação influenciam a construção da reputação da marca ao longo do período. A definição de uma média mensal como meta garante a manutenção das ações em um patamar adequado, evitando variações significativas ao longo dos meses."
Contr. ao NPS,Reputação,ações de comunicação,(%) Contr. das Ações ao NPS - Acumulado no ano,"É o indicador que mensura o quanto as ações de comunicação influenciam a construção da reputação da marca ao longo do ano. A meta acumulada anual permite avaliar esse impacto de forma consolidada, reduzindo a influência de variações pontuais entre os meses."
Contr. ao NPS,Reputação,ações de comunicação,(%) Contr. das Ações Promotoras ao NPS - Média mensal,"É o indicador que mensura o quanto as ações de comunicação que geraram impacto promotor influenciam a construção da reputação da marca ao longo do período. A definição de uma média mensal como meta garante a manutenção das ações em um patamar adequado, evitando variações significativas ao longo dos meses."
Contr. ao NPS,Reputação,ações de comunicação,(%) Contr. das Ações Promotoras ao NPS - Acumulado no ano,"É o indicador que mensura o quanto as ações de comunicação que geraram impacto promotor influenciam a construção da reputação da marca ao longo do ano. A meta acumulada anual permite avaliar esse impacto de forma consolidada, reduzindo a influência de variações pontuais entre os meses."
Frequência,Exposição,,Cadência de Publicações - Média por dia,"Trata-se da frequência média diária por mês da exposição total da marca nas mídias. O indicador verifica a assuidade da presença da marca nas mídias por dia. Quanto mais frequente, maior a chance da empresa ser lembrada pela audiência."
Frequência,Exposição,,Cadência de Publicações Promotora - Média por dia,"Trata-se da frequência média diária promotores por mês da exposição total da marca nas mídias. O indicador verifica a assuidade da presença da marca nas mídias por dia. Quanto mais frequente, maior a chance da empresa ser lembrada pela audiência de forma favorável."
Frequência,Exposição,,Publicações - Acumulado no ano,"Trata-se da presença acumulada no ano da marca nas mídias. Quanto maior a presença, maior a chance da marca ser lembrada."
Frequência,Exposição,,Publicações Promotora - Acumulado no ano,"Trata-se da presença promotora acumulada no ano da marca nas mídias. Quanto maior a presença, maior a chance da marca ser lembrada de forma favorável."
Valoração,Exposição,,Valoração - Média mensal,Trata-se do valor monetário (R$) potencial da exposição orgânica nas mídias. Esse indicador serve de referência sobre o valor monetário retornado pela exposição espontânea nas mídias
Valoração,Exposição,,Valoração - Acumulado no ano,Trata-se do valor monetário (R$) potencial da exposição orgânica nas mídias. Esse indicador serve de referência sobre o valor monetário retornado pela exposição espontânea nas mídias
