Indicadores,O que mede (camada cognitiva),com ler (camada cognitiva),Tipo de indicador,Objetivos de comunicação,Maturidade,Indicadores de ROI,Enriquecimentos necessários,Forma de enriquecimento,Casos de Uso,Datapack,Visualização,Tipo de escala de mensuração,Característica da escala de mensuração,estatística - Tendência Central,estatística - Dispersão,estatística - Associação ou Correlação,estatística - Significância,Cálculo
Alcance,,,exposição,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento",Estruturais,Eficácia,Inferência de Audiência,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",Imprensa,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Frequência,,,exposição,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento",Estruturais,Eficácia,Sem enriquecimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Share of Voice (Frequência),,,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência",Estruturais,Eficácia,Inferência de Audiência,Automático,Concorrência,,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",Frequência / Total de Frequência
Impressões,O impacto é utlizado para mensurar a visiblidade da marca nas mídias.,,exposição,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficácia,Inferência de Audiência,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",Alcance * Frequência
Diversidade de fontes,quantas fontes a marca apareceu no período. ,,exposição,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Despertar consciência  para marca, Chamar atenção",Básica,Eficácia,Sem enriquecimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Cadência de publicações,proximidade da presença da exposição nas mídias das marcas e dos assuntos,,exposição,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Média,Efetividade,Sem enriquecimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Share of Voice (Impressões),,,exposição,"Suscitar interesse, Garantir Identificação e empatia, Conseguir a Preferência",Estruturais,Eficácia,Inferência de Audiência,Automático,Concorrência,,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",Impressões / Total de Impressões
% de Positividade,"o % de Positividade é a participação relativa de menções claramente positivas em relação ao total:
",,exposição,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficácia,Sentimento,Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Impressões Promotoras,é a quando a empresa está inserida de forma protagonista e favorável em uma reportagem de um veículo relevante.,,qualidade,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Protagonismo, Sentimento","Revisão, Automático","Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Impressões Detratoras,é a quando a empresa está inserida de forma protagonista e desfavorável em uma reportagem de um veículo relevante.,,qualidade,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Protagonismo, Sentimento","Revisão, Automático","Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Total de Engajamento,,,interatividade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Estruturais,Eficácia,Sem enriquecimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
 Comentários,,,interatividade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Estruturais,Eficácia,Sem enriquecimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
 Comentários Favoráveis,,,interatividade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Estruturais,Eficácia,Sentimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
 Comentários Desfavoráveis,,,interatividade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Estruturais,Eficácia,Sentimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Compartilhamento,,,interatividade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Estruturais,Eficácia,"Protagonismo, Sentimento",Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Curtidas,,,interatividade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Estruturais,Eficácia,Sem enriquecimento,Automático,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Protagonismo,,,exposição,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,Protagonismo,Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Rácio,"Há um zero absoluto, razão pela qual é possível comparar as magnitudes; Impacto, exemplo","Médias Aritmética, Geométrica a Hamonica",Desvio Padrão e Coeficiente de variação,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contr. por Tipo de Público,Contribuição dos públicos para a construção da imagem das empresas nas mídias,,qualidade,"Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Básica,Eficiência,Públicos,Revisão,"Mídias Integradas, Trends, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
"Popularidade
","O Indicador de Popularidade é  a relação média da Valência (menções favoráveis) de Mobilização (publicações espontâneas), de Interações, e de Fama (pontencial de impressões). 

A diferença do % de Positividade é que leva em consideração as dimensões mais relevantes para a construção de popularidade, indicando não apenas as menções , mas o quanto é favorável (Valência) em termos de engajamento (Interações), menções espontâneas (Mobilização) e impacto total (Fama)",,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Média,Eficiência,"Sentimento, Protagonismo",Revisão,"Mídias Integradas, Trends, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contribuição do Popularidade por temas,,,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Média,Eficiência,"Sentimento, Protagonismo",Revisão,"Mídias Integradas, Trends, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
Contribuição do Popularidade por marca,,,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência",Média,Eficiência,"Sentimento, Protagonismo",Revisão,"Mídias Integradas, Trends, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",
NPS,"O NPS é utilizado principalmente para aqueles clientes que não são falados normalmente de forma detratora, mas possuem citações sem um alto nível de protagonismo, o que acaba sendo demonstrado pelos impactos inócuos. ",,reputacional,"Despertar consciência  para marca, Chamar atenção, Suscitar interesse, Proporcionar Conhecimento, Garantir Identificação e empatia, Criar Desejo / Expectativa, Conseguir a Preferência, Levar à Decisão de Compra, Efetivar a tomada de Decisão",Estruturais,Eficiência,"Protagonismo, Sentimento",Revisão,"Exposição e Reputação, Concorrência, Ações de comunicação, Mídias Integradas, Canais Proprietários, Trends, Comunicação Interna, Comunicação Integrada, Módulo de Insights",,,Intervalar,Os intervalos entre as adjacências são iguais; tipo NPS,Média Aritmética,Desvio Padrão,"Correlation
Correlation
Racio","Test T
Test F
ANOVA
Regression and
factorial
analysis",(Imp. Prom - Imp. Detrat) / Impacto Total
